condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,chunk
POP4,116.0,2000.0,2000.0,0.9975566411553112,0.9775155279954504,0.7645070067887505,0.5226815778664001,0.9950724956579506,0.0017195196231969,0.8981298413669669,0.1841957219338205,0.2793196003271916,2
PRELID1,126.0,2000.0,2000.0,0.9958990381651984,0.9685407186351792,0.389180749159462,0.3052358278089569,0.991494482383132,0.0031122983836218,0.8435024193158847,0.1697442101439541,0.2518438616035591,2
PSMD9,85.0,2000.0,2000.0,0.9924274493285576,0.9555911302561294,-0.089832187725,-0.088418296104574,0.9838933292776346,0.0059805001604526,0.958196721956887,0.1905926417991325,0.316705324569309,2
PSTK,355.0,2000.0,2000.0,0.9983536015094184,0.9858403264600816,-0.0055118339566057,-0.0181956555489138,0.9966064766049384,0.0012532349310605,0.4637741960070552,0.0844628468928042,0.1022859820616642,2
RAD51C,59.0,2000.0,2000.0,0.9964838511899212,0.969250836812709,0.5393948785218088,0.3660324602826394,0.9929548697546124,0.0025774831973322,1.0428713109901455,0.2010752880843067,0.3412733761000697,2
RARS,334.0,2000.0,2000.0,0.991139040625798,0.9658634984658748,0.6905987042935426,0.5310935694725525,0.9819273818284272,0.0065321649604653,0.648193352399425,0.1222512037201548,0.1890454322183403,2
REXO2,65.0,2000.0,2000.0,0.9927858055913816,0.956187006546752,0.091635946399124,0.0445678206419551,0.985482950694859,0.0053516239672191,1.2112234404500313,0.2330969350241753,0.4300627445751784,2
RFC5,101.0,2000.0,2000.0,0.9973548295923316,0.9767032931758232,0.4149720656138806,0.2961426988967282,0.994565645698458,0.0019672283200256,0.8573841007290248,0.1705682315202329,0.2523253995836892,2
RPL24,414.0,2000.0,2000.0,0.9983513266587156,0.9907229446807356,0.9574376802846264,0.913947571986893,0.9965536596719176,0.0011564672938407,0.4203373486342416,0.0638971797288378,0.0778836988079915,2
RPL39,31.0,2000.0,2000.0,0.9870434423683112,0.9420750292253142,0.6631861165985906,0.5655805053951263,0.9739401396363974,0.0089299224109886,1.4425275277769891,0.156286974846145,0.4497550171937585,2
