condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
RPL35A,97,2000,0.9937678677997509,0.9727765763337566,0.8639678792703182,0.7583231604449263
NUTF2,44,2000,0.9863097386092489,0.9235804091398271,0.5105978627415068,0.34604560735412937
SNRPE,128,2000,0.9917708456466775,0.9476809569472381,0.8670468260942048,0.7745892759301612
CSTF3,59,2000,0.9848871989104582,0.8980926225349223,0.11230557498849966,0.05083757617872316
WDR5,75,2000,0.9704251414906085,0.9116645443191387,-0.09266617561667406,-0.04439860968100995
YEATS2,233,2000,0.9930479707683291,0.957482432274277,0.20502010889432457,0.12840531547837608
PSMA2,38,2000,0.9913816460766454,0.9378254951509258,0.544472847207313,0.33892805130139053
HNRNPM,128,2000,0.9876325177950361,0.9359431736586523,0.2969284776908012,0.20383293695331745
RPL11,315,2000,0.9971456894944127,0.9805493119975057,0.9349738112721243,0.8275347056172491
MED26,99,2000,0.9688570270182504,0.9045243122769724,0.4425486723919757,0.22965835764535786
FAM50A,38,2000,0.9735553593740934,0.8759074334220329,0.2749455414548215,0.14527320254692808
SMC4,169,2000,0.9950443225598504,0.9583169261796767,0.20154948070772818,0.1492907884552145
THOC7,104,2000,0.9918411935717372,0.952505176308207,0.6016971991598558,0.4413824467112979
EIF3F,36,2000,0.9908858957585926,0.9283077139518703,0.5736778177904197,0.3799266313341835
MRPL49,36,2000,0.9837153069050869,0.9171735287471746,-0.15890206575045437,-0.026983156727973863
EIF3J,72,2000,0.9930688769763539,0.9506029419189321,0.5001195218115412,0.2708306136397245
PSMD4,285,2000,0.9926585538582104,0.9681164854446594,0.729829991175053,0.6012761106414751
SCAF1,158,2000,0.9884150737256681,0.9398344430239338,0.2184376088212545,0.16166231106237233
RNMT,106,2000,0.9896214938259007,0.9483642355093301,0.2587995717786718,0.0880242062611934
PPP4R2,162,2000,0.9899432545864438,0.951993301311732,0.07492530811756824,0.025387566632721265
ARPC4,188,2000,0.992959294359684,0.9408330451213216,-0.019218256061480032,0.007503646188325936
DDOST,74,2000,0.9919429416870996,0.9363576689167794,0.3303016167264053,0.1641920540234446
MRPL32,62,2000,0.9963475217610493,0.9575284105891363,0.5753784554403344,0.3047300349165149
RNF40,185,2000,0.9853998804446256,0.9313594345023772,0.5192644688228515,0.33060232678402757
HSD17B12,135,2000,0.9894527094913057,0.9444058192802327,0.2555410831570951,0.20221640475436264
EXOSC10,77,2000,0.9857260886469635,0.9231057503642299,0.5286171441192806,0.2744472992564787
NOP10,124,2000,0.9930564545627382,0.9513872223754887,0.5453861952466925,0.34327721669932737
CPSF4,57,2000,0.983445014963821,0.9052272491143369,0.25389054622141644,0.1690617280305266
OGFOD1,101,2000,0.985928682290401,0.9221254233292792,-0.038151829565799183,-0.035124612351513464
RPL18,229,2000,0.9964332081444902,0.9778850736434027,0.9312744235449988,0.8287985946758349
SPCS3,115,2000,0.9812655356788531,0.9265412968305998,0.15981243290642358,0.18748233526129177
MED8,94,2000,0.9915197898898702,0.9496138635525545,0.8159059483387064,0.6085177156659175
WDR70,29,2000,0.9874075655006205,0.9040595077345371,0.3176576108284583,0.1835528559821142
NRBP1,62,2000,0.9892999374418209,0.9279012622611291,0.3206925893828064,0.16856486517459457
PRELID1,122,2000,0.9822753655812269,0.9363994205409238,0.4658400242554031,0.33034018700560747
SNRNP48,179,2000,0.9919483561274408,0.9563764700860119,0.39681243115275666,0.30469311317103714
TAF6,111,2000,0.9942197450002723,0.9579883747105266,0.7863709640101315,0.4930491692579667
TCP1,63,2000,0.9932184513186376,0.9478354386149137,0.6952184118655872,0.5246455322270044
ATP6AP1,114,2000,0.9917028413042309,0.9529195352687813,0.5472012157388891,0.366744932255401
ISCU,32,2000,0.9881789021837045,0.9007925336848653,0.4724364485377297,0.25250405068440246
PAM16,43,2000,0.9860078717150844,0.9092633698608668,0.6550499118087819,0.411608702477984
DDX52,106,2000,0.9879635716394217,0.942607151016286,0.26171507284709317,0.023405662299596907
SIN3A,217,2000,0.9933556388361183,0.95092100190884,0.11413213857511323,0.06331942117581618
NCAPH,64,2000,0.95528816543723,0.8573966464558658,0.48545524446258614,0.3444715373871288
PDCD2,59,2000,0.9875974238950798,0.9369317088567274,0.2118615576896195,0.06680420129616804
SPC25,181,2000,0.985592499378734,0.9274687714027509,0.6253474899669392,0.4793682379907295
XRCC6,26,2000,0.9735157645521156,0.8824304770574856,0.28102574719431767,0.2233686737347469
WDTC1,107,2000,0.9897359748226268,0.9366214650713375,0.3149788935946979,0.21701903034996967
RFC4,58,2000,0.9957205160274603,0.9557975384879014,0.7152825717464144,0.47440254834287315
CNIH4,65,2000,0.983241087265261,0.901035554751047,0.06027199485622323,-0.015340679462363529
HAUS5,153,2000,0.9940352769079553,0.9389647632451257,0.42293863108938723,0.22874995828646835
PRPF3,129,2000,0.9847112346841825,0.9207243624792667,0.39982537096454,0.3626515370107651
SRP68,158,2000,0.9950757242102393,0.9575945587427647,0.5336046004420586,0.39067189108562783
NDUFA8,85,2000,0.9912746282243166,0.9451287872451513,0.11116414914651897,0.07454126957722874
PET117,80,2000,0.9769451550312306,0.9221346293973851,0.05532764955605666,-0.015630227905584243
