model,context,condition,n_true_cells,n_pred_cells,n_tfs,tf_activity_mean_pcc,tf_activity_mean_spearman,tf_activity_delta_pcc,tf_activity_delta_spearman,tf_activity_topk_overlap,tf_activity_auprc
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COX7C,154,2000,86,0.9977352157194671,0.9966413510071229,0.6170364819174671,0.626680503797349,0.6,0.5618214968844069
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CPSF1,48,2000,86,0.9911337323390816,0.988471154299731,0.468047318084526,0.41921788763620926,0.28,0.3211596838980274
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CPSF3,575,2000,86,0.9934488853236981,0.991282607670173,0.60174472346307,0.5010519364120948,0.52,0.5743902425039438
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CPSF4,57,2000,86,0.9895391252570905,0.9856219633001556,0.7256410279870124,0.6667389971225057,0.64,0.6662839498988865
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CPSF6,43,2000,86,0.991386972695936,0.9908863625642718,0.5964135153709865,0.620019812255295,0.44,0.5219318431878273
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CRNKL1,215,2000,86,0.99384341918709,0.991282607670173,0.8086538283423144,0.825406858814095,0.64,0.6383459180161559
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CSE1L,373,2000,86,0.9723943936716153,0.9747535261097221,0.7341383640626549,0.5970942025567244,0.56,0.6514887493277198
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CSNK1A1,131,2000,86,0.9966174619922544,0.9947733383650171,0.44343520787039004,0.3496863059578282,0.44,0.46985112298134274
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CSNK2B,103,2000,86,0.9927226279825947,0.9939242417095147,0.6081986077957108,0.4211802443511487,0.52,0.568717672424755
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CSTF1,129,2000,86,0.997391926176205,0.9962262370866549,0.6062010555698396,0.4829944808717392,0.52,0.6279764273476595
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CSTF3,59,2000,86,0.9896856952811397,0.9866597481013254,0.489092026454895,0.479107505070994,0.32,0.41253924637407896
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CTDP1,117,2000,86,0.992695894657234,0.9899051842068022,0.8682347685310314,0.8039530166517288,0.64,0.6748806794783689
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CTNNBL1,65,2000,86,0.9913821480836844,0.9883013349686307,-0.2338392610928911,-0.18082928440020754,0.48,0.39779256178033756
