gene_rank,mean_delta_vs_control,q10_vs_control,q90_vs_control,min_vs_control,max_vs_control,abs_mean_delta
206,-0.027132480334159007,-0.2613872955719431,0.2140017498588196,-0.7949406440322618,1.4924729362152274,0.027132480334159007
207,0.026876143677756596,-0.22247867760492213,0.26053457925701523,-0.4946009849136743,0.6841858740238755,0.026876143677756596
208,0.026382247123188107,-0.18800541341912896,0.264855320946819,-0.54484228067786,0.8570619484809969,0.026382247123188107
209,0.02637625627506294,-0.24754778268529573,0.3268192499879338,-0.779877818536676,1.4968685284389855,0.02637625627506294
210,-0.026322575886633406,-0.23670362111933263,0.1981732610011746,-0.7920806335187695,0.4908460490340065,0.026322575886633406
211,-0.026041372531984623,-0.2862945635919928,0.2087848417645666,-1.0793458109250471,3.3805708102615832,0.026041372531984623
212,-0.025062620300508456,-0.3672718552742824,0.29131982631584913,-1.174306306044835,0.7627260926046808,0.025062620300508456
213,-0.02489705869771241,-0.31771421138315914,0.22615668035074607,-1.1006795185780849,0.5567473100139179,0.02489705869771241
214,-0.024888052862018343,-0.3019725644722591,0.24493518842355158,-1.5532531811538728,1.0155380455329621,0.024888052862018343
215,0.024323744010950513,-0.3006845198963421,0.4432121693589875,-1.0921221260813818,2.026806664700051,0.024323744010950513
216,0.024227683452128543,-0.23460427217417731,0.2919615823349935,-0.7791921398383782,0.8816154248223773,0.024227683452128543
217,-0.024066821013981617,-0.29743628229914876,0.2626763173215652,-1.081982837830879,0.7367687972854345,0.024066821013981617
218,0.023212896485506233,-0.21670538071546486,0.28430138865760046,-0.9808274282760074,0.49361013770831685,0.023212896485506233
219,0.023150795010918837,-0.2913605001689993,0.3048253506428029,-0.6415815283257346,0.7131769653955569,0.023150795010918837
220,-0.02305360048859028,-0.2660881915803119,0.2840452720656494,-1.1938375706821445,1.489488422615023,0.02305360048859028
221,-0.02301816586562327,-0.2948386795556606,0.23678699284288635,-0.6680055838804498,1.5697270043371798,0.02301816586562327
222,-0.022778546623861272,-0.3101285005397806,0.2894787393490104,-0.6178683705708538,1.2532410156072415,0.022778546623861272
