condition,n_pred_cells,n_true_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
EIF4G2,2000,205,0.9961072156531832,0.9809827432200183,0.438075404932466,0.2892095472920808
EIF5,2000,94,0.9939884961311348,0.9656534047039662,0.35723616653862983,0.26255382768038005
EIF6,2000,107,0.993662747748018,0.9690676807919971,0.34851217186205957,0.16574637510820647
ERCC2,2000,116,0.9944068796189901,0.9673634147636744,0.21910997175370703,0.11847054600291791
ESF1,2000,121,0.9950027948121717,0.9759201792830594,0.3680425721575614,0.12047426793771294
ETF1,2000,40,0.9876302802639411,0.910534644841681,0.6343710605418839,0.45123619657849207
EXOC7,2000,32,0.9890621913603764,0.9191182137476964,0.3917010567249936,0.21538377152933808
EXOSC10,2000,77,0.9962808761961677,0.9755226456656297,0.39593837901753626,0.1194294181780696
EXOSC2,2000,209,0.9877083954839332,0.9424277773394915,0.6112687026775954,0.3324460542368891
EXOSC3,2000,44,0.9840363528521506,0.9195641266550943,0.5368541837606262,0.2390981918135217
EXOSC7,2000,84,0.9939844025491585,0.9547627387212577,0.3518311167126707,0.19038811617792745
FAM136A,2000,40,0.973845842274831,0.8967180835661972,0.19750505225340334,0.12269158066637008
FAM32A,2000,332,0.9903493621284088,0.9412911084670993,0.6357037097865265,0.5538209620171949
FARSA,2000,128,0.9877195771100733,0.9276246173328234,0.6045207802975516,0.413555988243557
FBL,2000,124,0.9883083099369713,0.9507057409514401,0.68691195635162,0.4613843706737416
FBXO5,2000,233,0.9983894615344675,0.9862169057932826,-0.0009172657382027199,0.009050273611301889
FTSJ3,2000,153,0.9912409116182752,0.9548470658685086,0.44983660064806347,0.3413182730709959
GARS,2000,148,0.9916048625773058,0.9623942008952444,0.07525147050980856,0.03314684116836048
GBF1,2000,155,0.9896308036186013,0.9556668925295341,0.5138270763807484,0.41073917171114577
GFER,2000,198,0.9973416902669231,0.9811713203311663,0.21358267143905738,0.17863687557691185
GFM1,2000,230,0.9977995839315562,0.9840310880589904,0.3899412960850251,0.19972721057125012
GINS2,2000,130,0.9931332680645255,0.9668251641661407,0.36161256557624954,0.2103065875222577
GINS3,2000,98,0.99563260286254,0.9716608481032772,0.25209686221307115,0.1379858741549034
GLE1,2000,54,0.9943005333665211,0.9578727637135358,0.331425413679153,0.2415731667896273
GMPS,2000,94,0.9961405375018806,0.9695016623086,0.1342539271148857,0.07360510019620009
GNL3,2000,29,0.9902079399812788,0.9344768915514051,0.3387958009801294,0.16584295882298192
GNL3L,2000,66,0.9955757063861592,0.9645345162659795,0.2987881740509257,0.1731240691745046
